8000  78        SEI                             A:00 X:00 Y:00 P:24 SP:FD CYCLES: 0 STACK: 00 00
8001  D8        CLD                             A:00 X:00 Y:00 P:24 SP:FD CYCLES: 2 STACK: 00 00
8002  A9 10     LDA #$10                        A:00 X:00 Y:00 P:24 SP:FD CYCLES: 4 STACK: 00 00
8004  8D 00 20  STA $2000 = FF                  A:10 X:00 Y:00 P:24 SP:FD CYCLES: 6 STACK: 00 00
8007  A2 FF     LDX #$FF                        A:10 X:00 Y:00 P:24 SP:FD CYCLES: 10 STACK: 00 00
8009  9A        TXS                             A:10 X:FF Y:00 P:A4 SP:FD CYCLES: 12 STACK: 00 00
800A  AD 02 20  LDA $2002 = FF                  A:10 X:FF Y:00 P:A4 SP:FF CYCLES: 14 STACK:
800D  10 FB     BPL $800A                       A:FF X:FF Y:00 P:A4 SP:FF CYCLES: 18 STACK:
800F  AD 02 20  LDA $2002 = FF                  A:FF X:FF Y:00 P:A4 SP:FF CYCLES: 20 STACK:
8012  10 FB     BPL $800F                       A:FF X:FF Y:00 P:A4 SP:FF CYCLES: 24 STACK:
8014  A0 FE     LDY #$FE                        A:FF X:FF Y:00 P:A4 SP:FF CYCLES: 26 STACK:
8016  A2 05     LDX #$05                        A:FF X:FF Y:FE P:A4 SP:FF CYCLES: 28 STACK:
8018  BD D7 07  LDA $07D7,X @ 07DC = 00         A:FF X:05 Y:FE P:24 SP:FF CYCLES: 30 STACK:
801B  C9 0A     CMP #$0A                        A:00 X:05 Y:FE P:26 SP:FF CYCLES: 34 STACK:
801D  B0 0C     BCS $802B                       A:00 X:05 Y:FE P:A4 SP:FF CYCLES: 36 STACK:
801F  CA        DEX                             A:00 X:05 Y:FE P:A4 SP:FF CYCLES: 38 STACK:
8020  10 F6     BPL $8018                       A:00 X:04 Y:FE P:24 SP:FF CYCLES: 40 STACK:
8018  BD D7 07  LDA $07D7,X @ 07DB = 00         A:00 X:04 Y:FE P:24 SP:FF CYCLES: 43 STACK:
801B  C9 0A     CMP #$0A                        A:00 X:04 Y:FE P:26 SP:FF CYCLES: 47 STACK:
801D  B0 0C     BCS $802B                       A:00 X:04 Y:FE P:A4 SP:FF CYCLES: 49 STACK:
801F  CA        DEX                             A:00 X:04 Y:FE P:A4 SP:FF CYCLES: 51 STACK:
8020  10 F6     BPL $8018                       A:00 X:03 Y:FE P:24 SP:FF CYCLES: 53 STACK:
8018  BD D7 07  LDA $07D7,X @ 07DA = 00         A:00 X:03 Y:FE P:24 SP:FF CYCLES: 56 STACK:
801B  C9 0A     CMP #$0A                        A:00 X:03 Y:FE P:26 SP:FF CYCLES: 60 STACK:
801D  B0 0C     BCS $802B                       A:00 X:03 Y:FE P:A4 SP:FF CYCLES: 62 STACK:
801F  CA        DEX                             A:00 X:03 Y:FE P:A4 SP:FF CYCLES: 64 STACK:
8020  10 F6     BPL $8018                       A:00 X:02 Y:FE P:24 SP:FF CYCLES: 66 STACK:
8018  BD D7 07  LDA $07D7,X @ 07D9 = 00         A:00 X:02 Y:FE P:24 SP:FF CYCLES: 69 STACK:
801B  C9 0A     CMP #$0A                        A:00 X:02 Y:FE P:26 SP:FF CYCLES: 73 STACK:
801D  B0 0C     BCS $802B                       A:00 X:02 Y:FE P:A4 SP:FF CYCLES: 75 STACK:
801F  CA        DEX                             A:00 X:02 Y:FE P:A4 SP:FF CYCLES: 77 STACK:
8020  10 F6     BPL $8018                       A:00 X:01 Y:FE P:24 SP:FF CYCLES: 79 STACK:
8018  BD D7 07  LDA $07D7,X @ 07D8 = 00         A:00 X:01 Y:FE P:24 SP:FF CYCLES: 82 STACK:
